frame,source_path,selected_source,num_points,debug_mapped_points_image
frame_003420,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003420.jpg,perspective,7,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003420_perspective_mapped_points_on_raw.jpg
frame_003450,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003450.jpg,raw,7,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003450_raw_mapped_points_on_raw.jpg
frame_003480,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003480.jpg,raw,8,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003480_raw_mapped_points_on_raw.jpg
frame_003510,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003510.jpg,raw,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003510_raw_mapped_points_on_raw.jpg
frame_003570,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003570.jpg,raw,5,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003570_raw_mapped_points_on_raw.jpg
frame_003600,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003600.jpg,raw,5,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003600_raw_mapped_points_on_raw.jpg
frame_003630,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003630.jpg,raw,5,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003630_raw_mapped_points_on_raw.jpg
frame_003660,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003660.jpg,perspective,5,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003660_perspective_mapped_points_on_raw.jpg
frame_003690,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003690.jpg,raw,5,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003690_raw_mapped_points_on_raw.jpg
frame_003720,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003720.jpg,raw,5,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003720_raw_mapped_points_on_raw.jpg
frame_003750,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003750.jpg,raw,5,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003750_raw_mapped_points_on_raw.jpg
