rectified_frame_path,detected_frame_path,marker_count,charuco_corner_count,marker_ids,used_for_calibration,error
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_003030_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_003030_rectified_detected.jpg,8,7,18 11 8 12 4 0 5 1,True,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_003060_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_003060_rectified_detected.jpg,7,6,4 18 1 8 22 15 5,True,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_003090_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_003090_rectified_detected.jpg,8,8,4 11 1 18 8 15 5 9,True,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_003120_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_003120_rectified_detected.jpg,8,9,4 11 1 8 15 5 12 2,True,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_003150_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_003150_rectified_detected.jpg,7,7,11 15 0 4 8 1 5,True,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_003180_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_003180_rectified_detected.jpg,7,6,4 18 1 8 22 15 5,True,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_003210_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_003210_rectified_detected.jpg,9,10,4 1 11 18 8 5 15 2 12,True,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_003240_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_003240_rectified_detected.jpg,6,5,8 22 15 5 19 12,False,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_003270_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_003270_rectified_detected.jpg,6,4,8 22 15 5 2 12,False,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_003300_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_003300_rectified_detected.jpg,6,5,18 8 22 15 5 12,False,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_003330_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_003330_rectified_detected.jpg,7,6,18 8 22 15 5 2 12,True,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_003360_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_003360_rectified_detected.jpg,7,6,18 8 22 15 5 2 12,True,
